===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.170.6:9200/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              css,php,html,txt,js
[+] Timeout:                 10s
===============================================================
2021/07/12 21:13:51 Starting gobuster in directory enumeration mode
===============================================================
/_mm.css              (Status: 400) [Size: 325] 
/_catalogs.php        (Status: 400) [Size: 349] 
/_old.txt             (Status: 400) [Size: 329] 
/_baks.js             (Status: 400) [Size: 329] 
/_code.txt            (Status: 400) [Size: 333] 
/_borders.php         (Status: 400) [Size: 345] 
/_backup.php          (Status: 400) [Size: 341] 
/_config.php          (Status: 400) [Size: 341] 
/_db_backups.css      (Status: 400) [Size: 357] 
/_overlay             (Status: 400) [Size: 329] 
/_css.txt             (Status: 400) [Size: 329] 
/_common.txt          (Status: 400) [Size: 341] 
/_database.txt        (Status: 400) [Size: 349] 
/_cache.php           (Status: 400) [Size: 337] 
/.svn/entries.php     (Status: 405) [Size: 108] 
/_adm.php             (Status: 400) [Size: 329] 
/_install             (Status: 400) [Size: 329] 
/_flash               (Status: 400) [Size: 321] 
/_fpclass.txt         (Status: 400) [Size: 345] 
/_                    (Status: 400) [Size: 301] 
/_data.html           (Status: 400) [Size: 337] 
/_dummy.php           (Status: 400) [Size: 337] 
/_includes.html       (Status: 400) [Size: 353] 
/.git/HEAD.txt        (Status: 405) [Size: 105] 
/_files.css           (Status: 400) [Size: 337] 
/_ajax.html           (Status: 400) [Size: 337] 
/_images.php          (Status: 400) [Size: 341] 
/_conf.js             (Status: 400) [Size: 329] 
/_layouts.php         (Status: 400) [Size: 345] 
/_mmserverscripts.txt (Status: 400) [Size: 377] 
/_media.js            (Status: 400) [Size: 333] 
/_dev.css             (Status: 400) [Size: 329] 
/_include.php         (Status: 400) [Size: 345] 
/_lib.txt             (Status: 400) [Size: 329] 
/_derived.php         (Status: 400) [Size: 345] 
/_js.html             (Status: 400) [Size: 329] 
/_assets.css          (Status: 400) [Size: 341] 
/_inc                 (Status: 400) [Size: 313] 
/_mem_bin.php         (Status: 400) [Size: 345] 
/_img.js              (Status: 400) [Size: 325] 
/_mygallery.php       (Status: 400) [Size: 353] 
/_notes.js            (Status: 400) [Size: 333] 
/_archive.js          (Status: 400) [Size: 341] 
/_admin               (Status: 400) [Size: 321] 
/_mm.php              (Status: 400) [Size: 325] 
/_net.txt             (Status: 400) [Size: 329] 
/_catalogs.html       (Status: 400) [Size: 353] 
/_baks.css            (Status: 400) [Size: 333] 
/_old.js              (Status: 400) [Size: 325] 
/_code.js             (Status: 400) [Size: 329] 
/_backup.html         (Status: 400) [Size: 345] 
/_config.html         (Status: 400) [Size: 345] 
/_borders.html        (Status: 400) [Size: 349] 
/_overlay.html        (Status: 400) [Size: 349] 
/_db_backups.php      (Status: 400) [Size: 357] 
/_css.js              (Status: 400) [Size: 325] 
/_common.js           (Status: 400) [Size: 337] 
/_cache.html          (Status: 400) [Size: 341] 
/_database.js         (Status: 400) [Size: 345] 
/_adm.html            (Status: 400) [Size: 333] 
/_install.html        (Status: 400) [Size: 349] 
/.svn/entries         (Status: 405) [Size: 104] 
/_flash.css           (Status: 400) [Size: 337] 
/_fpclass.js          (Status: 400) [Size: 341] 
/_conf.css            (Status: 400) [Size: 333] 
/_data.txt            (Status: 400) [Size: 333] 
/_dummy               (Status: 400) [Size: 321] 
/_files.php           (Status: 400) [Size: 337] 
/.git/HEAD.js         (Status: 405) [Size: 104] 
/_mmserverscripts.js  (Status: 400) [Size: 373] 
/_dev.php             (Status: 400) [Size: 329] 
/_includes.txt        (Status: 400) [Size: 349] 
/_derived             (Status: 400) [Size: 329] 
/_lib                 (Status: 400) [Size: 313] 
/_mem_bin.html        (Status: 400) [Size: 349] 
/_images.html         (Status: 400) [Size: 345] 
/_media.css           (Status: 400) [Size: 337] 
/_layouts.html        (Status: 400) [Size: 349] 
/_ajax.txt            (Status: 400) [Size: 333] 
/_.php                (Status: 400) [Size: 317] 
/_inc.html            (Status: 400) [Size: 333] 
/_assets.php          (Status: 400) [Size: 341] 
/_include.html        (Status: 400) [Size: 349] 
/_js.txt              (Status: 400) [Size: 325] 
/_mygallery.html      (Status: 400) [Size: 357] 
/_archive.css         (Status: 400) [Size: 345] 
/_img.css             (Status: 400) [Size: 329] 
/_admin.php           (Status: 400) [Size: 337] 
