===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.6.123/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/05 12:03:55 Starting gobuster in directory enumeration mode
===============================================================
/lpt1.php             (Status: 500) [Size: 1763]                                                            
/lpt2.js              (Status: 500) [Size: 1763]                                                            
/lpt1                 (Status: 500) [Size: 1763]                                                            
/lpt2.css             (Status: 500) [Size: 1763]                                                            
/lpt1.html            (Status: 500) [Size: 1763]                                                            
/lpt1.txt             (Status: 500) [Size: 1763]                                                            
/lpt2.php             (Status: 500) [Size: 1763]                                                            
/lpt2                 (Status: 500) [Size: 1763]                                                            
/lpt1.js              (Status: 500) [Size: 1763]                                                            
/nul                  (Status: 500) [Size: 1763]                                                            
/nul.html             (Status: 500) [Size: 1763]                                                            
/nul.txt              (Status: 500) [Size: 1763]                                                            
/nul.js               (Status: 500) [Size: 1763]                                                            
/nul.css              (Status: 500) [Size: 1763]                                                            
/nul.php              (Status: 500) [Size: 1763]                                                            
/prn                  (Status: 500) [Size: 1763]                                                            
/prn.js               (Status: 500) [Size: 1763]                                                            
/prn.css              (Status: 500) [Size: 1763]                                                            
/prn.php              (Status: 500) [Size: 1763]                                                            
/prn.html             (Status: 500) [Size: 1763]                                                            
/prn.txt              (Status: 500) [Size: 1763]                                                            
/robots.txt           (Status: 200) [Size: 303]                                                             
/robots.txt           (Status: 200) [Size: 303]                                                             
/scripts              (Status: 301) [Size: 150] [--> http://10.10.6.123/scripts/]                           
/search               (Status: 200) [Size: 8381]                                                            
/search-results       (Status: 200) [Size: 8389]                                                            
/searchurl            (Status: 200) [Size: 8384]                                                            
/Search               (Status: 200) [Size: 8381]                                                            
/searchnx             (Status: 200) [Size: 8383]                                                            
/Scripts              (Status: 301) [Size: 150] [--> http://10.10.6.123/Scripts/]                           
/search_results       (Status: 200) [Size: 8389]                                                            
/search_result        (Status: 200) [Size: 8388]                                                            
/searchresults        (Status: 200) [Size: 8388]                                                            
/setup                (Status: 302) [Size: 173] [--> http://10.10.6.123/Account/login.aspx?ReturnUrl=%2fsetup]
===============================================================
2021/08/05 12:05:24 Finished
===============================================================
