===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.16.141/auth/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/02 11:06:56 Starting gobuster in directory enumeration mode
===============================================================
/_reports.css         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_reports.css]     
/_resources           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_resources]       
/_private.txt         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_private.txt]     
/_pages.html          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_pages.html]      
/_db_backups.css      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_db_backups.css]  
/_data.css            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_data.css]        
/_res.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_res.js]          
/.ssh.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.ssh.css]         
/_scriptlibrary.html  (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scriptlibrary.html]
/_src.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_src.css]           
/_stats.css           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_stats.css]         
/_source.html         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_source.html]       
/_scripts.css         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scripts.css]       
/_resources.txt       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_resources.txt]     
/_styles.js           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_styles.js]         
/_private.js          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_private.js]        
/_pages.txt           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_pages.txt]         
/_data.php            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_data.php]          
/_reports.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_reports.php]       
/_res.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_res.css]           
/.ssh.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.ssh.php]           
/_scriptlibrary.txt   (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scriptlibrary.txt] 
/_scripts.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scripts.php]       
/_src.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_src.php]           
/_stats.php           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_stats.php]         
/_source.txt          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_source.txt]        
/_reports             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_reports]           
/_private.css         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_private.css]       
/_pages.js            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_pages.js]          
/_styles.css          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_styles.css]        
/_resources.js        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_resources.js]      
/_data.html           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_data.html]         
/_res.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_res.php]           
/.ssh.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.ssh.html]          
/_scripts.html        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scripts.html]      
/_source.js           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_source.js]         
/_scriptlibrary.js    (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scriptlibrary.js]  
/_src.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_src.html]          
/_stats.html          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_stats.html]        
/_private.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_private.php]       
/_res.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_res.html]          
/_reports.html        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_reports.html]      
/_styles.php          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_styles.php]        
/_pages               (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_pages]             
/_scripts.txt         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scripts.txt]       
/_stats.txt           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_stats.txt]         
/.ssh.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.ssh.txt]           
/_resources.css       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_resources.css]     
/_src.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_src.txt]           
/_data                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_data]              
/_scriptlibrary.css   (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scriptlibrary.css] 
/_source.css          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_source.css]        
/_res                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_res]               
/_styles              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_styles]            
/_pages.css           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_pages.css]         
/_private.html        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_private.html]      
/_reports.txt         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_reports.txt]       
/_scriptlibrary       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scriptlibrary]     
/_scripts.js          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scripts.js]        
/_data.txt            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_data.txt]          
/.ssh.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.ssh.js]            
/_source.php          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_source.php]        
/_src                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_src]               
/_resources.php       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_resources.php]     
/_stats.js            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_stats.js]          
/.mysql_history       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.mysql_history]     
/_css                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_css]               
/_.js                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_.js]               
/_flash               (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_flash]             
